,회사명,거래소코드,회계년도,이자보상배율,매출액(수익)(*)(IFRS)(천원),매출원가(*)(IFRS)(천원),매출액(수익)(*)(IFRS연결)(천원),매출원가(*)(IFRS연결)(천원),통계청 한국표준산업분류 10차(중분류),매출액(수익)감소,매출원가감소,매출액(수익)감소(연결),매출원가감소(연결)
36,(주)MH에탄올,23150,2011,0.12,43206995.0,32715976.0,44785159.0,37258514.0,음료 제조업,,,,
37,(주)MH에탄올,23150,2012,1.08,45488675.0,35478357.0,59768175.0,49030452.0,음료 제조업,-0.05015929789117841,-0.0778610181976578,-0.25068551950933754,-0.24009442132004005
38,(주)MH에탄올,23150,2013,0.87,46298516.0,33247791.0,62199887.0,54316861.0,음료 제조업,-0.01749172694865641,0.0670891488700708,-0.039095119256406366,-0.09732537747348839
39,(주)MH에탄올,23150,2014,5.62,48983781.0,37109977.0,48983781.0,37109977.0,음료 제조업,-0.054819471775770026,-0.10407406073035291,0.2698057546843924,0.46367272068101795
40,(주)MH에탄올,23150,2015,12.69,50386203.0,36425005.0,50386203.0,36425005.0,음료 제조업,-0.027833452741021187,0.018804993986960332,-0.027833452741021187,0.018804993986960332
41,(주)MH에탄올,23150,2016,29.41,48897025.0,33962392.0,48897025.0,33962392.0,음료 제조업,0.030455390690946944,0.07250999870680487,0.030455390690946944,0.07250999870680487
42,(주)MH에탄올,23150,2017,3.46,48270464.0,34577247.0,51977132.0,37225576.0,음료 제조업,0.012980214981981528,-0.017782069231827506,-0.059258887158298766,-0.08765973157809566
43,(주)MH에탄올,23150,2018,0.1,46943080.0,34331318.0,72795863.0,53524709.0,음료 제조업,0.02827645736070151,0.007163401067212159,-0.28598783147883006,-0.3045160507084681
44,(주)MH에탄올,23150,2019,0.73,46992295.0,35415661.0,80879342.0,54219181.0,음료 제조업,-0.0010472993498189438,-0.030617612925535966,-0.09994491547668624,-0.012808603656333356
45,(주)SH에너지화학,2360,2011,2.82,172752632.0,160574493.0,173209351.0,160789710.0,화학물질 및 화학제품 제조업; 의약품 제외,,,,
46,(주)SH에너지화학,2360,2012,1.72,191907628.0,178516652.0,193950102.0,178829327.0,화학물질 및 화학제품 제조업; 의약품 제외,-0.09981362491750458,-0.10050692077734015,-0.10693859289643477,-0.10087616669272596
47,(주)SH에너지화학,2360,2013,5.3,229783541.0,213397080.0,231912218.0,213952261.0,화학물질 및 화학제품 제조업; 의약품 제외,-0.16483301125557986,-0.16345316440131233,-0.1636917465038431,-0.16416248108731135
