,회사명,거래소코드,회계년도,[제조]당기순이익(손실)(IFRS),[제조]자본(*)(IFRS),자기자본순이익률(개별)
212,(주)골드앤에스,35290,2015/12,-9396462.0,14991660.0,-62.67792892848424
213,(주)골드앤에스,35290,2016/12,388207.0,14102143.0,2.752822744741703
214,(주)골드앤에스,35290,2017/12,-8062623.0,13104737.0,-61.524493013480544
215,(주)골드앤에스,35290,2018/12,-4045846.0,13867013.0,-29.176045338675316
216,(주)골드앤에스,35290,2019/12,-24883215.0,-5001092.0,-497.55563384956724
217,(주)골드퍼시픽,38530,2011/12,990336.0,21829724.0,4.536640041807217
218,(주)골드퍼시픽,38530,2012/12,254546.0,22928402.0,1.1101776739608806
219,(주)골드퍼시픽,38530,2013/12,-8455942.0,17116411.0,-49.40254122198865
220,(주)골드퍼시픽,38530,2014/12,-7306525.0,16902289.0,-43.22802077280775
221,(주)골드퍼시픽,38530,2015/12,-12525668.0,20115559.0,-62.2685554003247
222,(주)골드퍼시픽,38530,2016/12,-23433498.0,1889641.0,-1240.1031730365714
223,(주)골드퍼시픽,38530,2017/12,-965087.0,5364494.0,-17.990270843811178
224,(주)골드퍼시픽,38530,2018/12,-4380343.0,20086698.0,-21.807183042230236
225,(주)골드퍼시픽,38530,2019/12,-31603970.0,21069318.0,-149.99996677633325
226,(주)골프존,215000,2015/12,33262807.0,105063093.0,31.65983986403294
227,(주)골프존,215000,2016/12,35913366.0,115886579.0,30.990099379842768
228,(주)골프존,215000,2017/12,75544308.0,181394935.0,41.64631608925575
229,(주)골프존,215000,2018/12,21663391.0,197436844.0,10.972314265720334
230,(주)골프존,215000,2019/12,19704546.0,205529589.0,9.587206443545217
231,(주)골프존뉴딘홀딩스,121440,2011/12,47591974.0,348104397.0,13.67175318960421
232,(주)골프존뉴딘홀딩스,121440,2012/12,72099265.0,410999847.0,17.542406773694005
233,(주)골프존뉴딘홀딩스,121440,2013/12,4493226.0,427556455.0,1.0509082362000592
